datetime,temp,humidity,precip,precipprob,windspeed,city
2024-09-24,17.9,95.7,17.116,100.0,7.3,Mostar
2024-09-25,19.3,84.7,0.004,100.0,11.1,Mostar
2024-09-26,19.5,84.6,0.0,0.0,7.5,Mostar
2024-09-27,20.8,82.2,0.0,0.0,11.0,Mostar
2024-09-28,21.2,84.3,0.0,0.0,20.2,Mostar
2024-09-29,17.8,59.1,8.993,100.0,39.5,Mostar
2024-09-30,15.2,49.0,0.001,100.0,21.3,Mostar
2024-10-01,14.8,64.5,0.0,0.0,14.0,Mostar
2024-10-02,18.4,72.1,0.0,0.0,7.2,Mostar
2024-10-03,19.5,89.1,9.392,100.0,31.1,Mostar
2024-10-04,22.5,76.1,24.001,100.0,38.1,Mostar
2024-10-05,16.5,88.2,2.003,100.0,10.5,Mostar
2024-10-06,14.8,88.9,1.002,100.0,10.6,Mostar
2024-10-07,15.7,84.8,0.001,100.0,7.1,Mostar
2024-10-08,16.9,78.2,0.0,0.0,7.4,Mostar
2024-10-09,19.8,83.6,8.998,100.0,27.6,Mostar
2024-10-10,20.3,80.2,0.001,100.0,11.2,Mostar
2024-10-11,21.0,78.5,0.601,100.0,11.0,Mostar
2024-10-12,17.7,65.9,0.002,100.0,14.2,Mostar
2024-10-13,16.3,76.1,0.0,0.0,7.5,Mostar
2024-10-14,16.9,80.1,0.0,0.0,7.3,Mostar
2024-10-15,16.9,81.0,0.0,0.0,10.4,Mostar
2024-10-16,17.7,76.8,0.0,0.0,14.1,Mostar
2024-10-17,17.6,91.1,1.199,100.0,9.1,Mostar
2024-10-18,17.3,96.9,5.798,100.0,11.0,Mostar
2024-10-19,19.3,85.1,0.206,100.0,11.1,Mostar
2024-10-20,18.2,78.2,0.0,0.0,10.7,Mostar
2024-10-21,16.1,81.9,0.0,0.0,10.6,Mostar
2024-10-22,16.0,76.8,0.0,0.0,10.7,Mostar
2024-10-23,16.5,79.8,0.0,0.0,7.1,Mostar
2024-10-24,17.1,82.7,0.0,0.0,7.2,Mostar
2024-10-25,18.3,81.1,0.0,0.0,7.4,Mostar
2024-10-26,16.6,83.5,0.0,0.0,7.1,Mostar
2024-10-27,16.5,83.6,0.0,0.0,7.1,Mostar
2024-10-28,14.9,83.2,0.0,0.0,4.6,Mostar
2024-10-29,16.6,77.9,0.0,0.0,10.5,Mostar
2024-10-30,17.2,64.9,0.0,0.0,14.3,Mostar
2024-10-31,16.8,62.6,0.0,0.0,14.4,Mostar
2024-11-01,14.3,73.3,0.0,0.0,10.5,Mostar
2024-11-02,14.2,69.6,0.0,0.0,14.2,Mostar
2024-11-03,14.3,63.6,0.0,0.0,17.6,Mostar
2024-11-04,11.9,67.6,0.0,0.0,17.6,Mostar
2024-11-05,11.8,63.6,0.0,0.0,17.5,Mostar
2024-11-06,11.2,70.7,0.0,0.0,10.5,Mostar
2024-11-07,11.0,73.8,0.0,0.0,10.5,Mostar
2024-11-08,10.2,77.3,0.0,0.0,7.1,Mostar
2024-11-09,10.1,70.8,0.0,0.0,10.6,Mostar
2024-11-10,11.2,55.5,0.0,0.0,17.6,Mostar
2024-11-11,9.0,56.9,0.0,0.0,24.6,Mostar
2024-11-12,8.9,58.3,0.0,0.0,24.5,Mostar
2024-11-13,8.1,62.3,0.0,0.0,21.0,Mostar
2024-11-14,8.4,73.6,2.001,100.0,24.9,Mostar
2024-11-15,8.1,59.5,0.003,100.0,11.1,Mostar
2024-11-16,8.4,60.6,0.0,0.0,17.6,Mostar
2024-11-17,6.4,74.7,0.0,0.0,7.1,Mostar
2024-11-18,9.1,95.5,2.4,100.0,5.4,Mostar
2024-11-19,9.5,98.4,14.6,100.0,7.6,Mostar
2024-11-20,11.5,92.7,31.7,100.0,49.6,Mostar
2024-11-21,5.2,75.6,0.1,100.0,14.7,Mostar
2024-11-22,11.2,80.5,35.383,100.0,47.4,Mostar
2024-11-23,4.9,47.2,0.005,100.0,23.6,Mostar
2024-11-24,3.4,65.7,0.0,0.0,12.7,Mostar
2024-11-25,6.7,74.1,0.046,100.0,9.3,Mostar
2024-11-26,4.9,91.4,0.043,100.0,5.5,Mostar
2024-11-27,9.6,86.4,0.04,100.0,5.3,Mostar
2024-11-28,9.7,98.1,3.03,100.0,5.4,Mostar
2024-11-29,10.5,58.1,15.892,100.0,18.0,Mostar
2024-11-30,10.4,44.9,0.004,100.0,51.3,Mostar
2024-12-01,12.1,51.2,0.4,100.0,57.0,Mostar
2024-12-02,8.8,64.6,0.0,0.0,17.4,Mostar
2024-12-03,5.7,84.4,0.0,0.0,7.1,Mostar
2024-12-04,8.8,73.2,0.015,100.0,14.2,Mostar
2024-12-05,8.8,65.2,0.002,100.0,17.6,Mostar
2024-12-06,8.5,76.4,1.001,100.0,14.6,Mostar
2024-12-07,7.5,66.4,2.173,100.0,7.7,Mostar
2024-12-08,4.7,95.0,19.99,100.0,11.0,Mostar
2024-12-09,6.6,98.7,20.384,100.0,7.7,Mostar
2024-12-10,8.4,84.1,2.215,100.0,10.6,Mostar
2024-12-11,8.3,84.7,0.203,100.0,14.2,Mostar
2024-12-12,7.8,76.3,0.131,100.0,11.1,Mostar
2024-12-13,4.3,80.3,0.0,0.0,7.6,Mostar
2024-12-14,7.1,96.6,18.394,100.0,7.5,Mostar
2024-12-15,8.3,70.7,0.001,100.0,16.9,Mostar
2024-12-16,6.1,67.9,0.279,100.0,9.2,Mostar
2024-12-17,4.9,87.7,0.0,0.0,7.5,Mostar
2024-12-18,3.9,89.9,0.0,0.0,7.5,Mostar
2024-12-19,4.0,90.2,0.0,0.0,7.6,Mostar
2024-12-20,9.1,82.4,0.003,100.0,65.7,Mostar
2024-12-21,6.8,48.4,12.457,100.0,62.2,Mostar
2024-12-22,2.5,72.6,0.0,0.0,7.7,Mostar
2024-12-23,5.9,86.2,25.006,100.0,62.2,Mostar
2024-12-24,7.4,41.3,6.239,100.0,57.0,Mostar
2024-12-25,9.3,45.8,0.0,0.0,54.8,Mostar
2024-12-26,10.9,44.6,0.0,0.0,58.3,Mostar
2024-12-27,9.5,49.4,0.0,0.0,30.9,Mostar
2024-12-28,9.2,44.7,0.0,0.0,18.1,Mostar
2024-12-29,6.3,63.4,0.0,0.0,21.0,Mostar
2024-12-30,5.6,75.1,0.0,0.0,10.5,Mostar
2024-12-31,4.1,81.8,0.0,0.0,7.4,Mostar
2024-01-01,5.3,94.4,24.919,100.0,22.8,Fojnica
2024-01-02,4.5,88.9,2.545,100.0,13.5,Fojnica
2024-01-03,7.0,78.9,1.268,100.0,20.0,Fojnica
2024-01-04,5.5,88.5,9.783,100.0,15.4,Fojnica
2024-01-05,4.4,84.1,1.485,100.0,24.7,Fojnica
